,Accuracy Mean,Precision Mean,Recall (Sensitivity) Mean,F1 Score Mean,ROC-AUC Mean
Gradient Boosting,0.8868772355278886,0.8963866998455222,0.752306950864203,0.8179082172345401,0.9365312642239225
Random Forest,0.887160145975687,0.9039524546232007,0.7455031873644549,0.8169565274353807,0.9344968948703641
XGBoost,0.8859224221477178,0.8893816603961652,0.7567021183377511,0.8175396556727575,0.9338136059527222
MLP Neural Network,0.8762333209418773,0.8748995332114149,0.73996089728143,0.8014827430650637,0.9190600876082946
Decision Tree,0.8795572622854282,0.8861002695649678,0.7389123529540625,0.8055472674165094,0.9147860352108342
K-Nearest Neighbors,0.8681353502220706,0.8904973959938532,0.6956932243860765,0.7808421272360361,0.9109637668087766
Logistic Regression,0.8670747424937046,0.8698880616219439,0.7135877018116498,0.783829859625014,0.9051589836030972
Linear SVM,0.8588354541401889,0.8683138833167661,0.6899500536703981,0.7668346917765041,0.9015505208223169
